loc_id;en;ru
n;;
cla_c_ver;CL::A | 0.0.16D - Pre-alpha tech demo;CL::A | 0.0.16D - Пре-альфа технодемо
cla_exp_t;Explanation note;Пояснительная записка
cla_exp_0;CL::A (ColdLine::Arkhangelsk) is a top-down shooter inspired by "Hotline Miami" set in North-eastern Russia,\n Arkhangelsk in particular\nThis is a technical demo intended just to show some basic game features that we have now\nGame in current state includes:\n- object-oriented game base (including many elements like UIEs, scenes etc.)\n- some demo levels\n- some visual part\n- variety of external file interactors (locale, level and image loaders, saves using DB)\n- levels base (player and entities)\nThere's no story or actual gameplay in this demo\nbut we plan to further develop this game\nCredits:\nOwaz', Llirik\nInitially i really wanted to make proper character but it looked like shit\nand then i tried to make boykisser as a char and he turned out to be too good\nso there's now a boykisser as a main character   - Owaz;CL::A (Колдлайн::Архангельск) - игра жанра TDS (top-down shooter, стрелялка с видом сверху),\n вдохновением послужила Hotline miami, а сама игра нещадно эксплуатирует сеттинг Северозапада РФ и Архангельска в частности\nЭто - технодемо, предназначенное исключительно для показа возможностей игры, реализованных на данный момент\nСейчас в игре есть:\n- объектно-ориентированная база (включающая множество элементов - сцены, элементы интерфейса и т.д.)\n- различные взаимодействия с внешними файлами (загрузчики сцен, локализаций и изображений, сохранения игры и использованием БД)\n- база для игровых уровней (игрок и сущности)\n- пару демонстрационных уровней\n- некоторый визуал\nВ данном демо не имеется ни сюжета, ни реального геймплея\nно мы планируем дальше разрабатывать игру\n\nOwaz', Llirik\nЯ действительно изначально хотел сделать нормального персонажа но он получился 'очень плохо'\nа потом я попробовал сделать бойкиссера (чисто по приколу) и он получился нормальным\nтак что главный герой теперь бойкиссер   - Owaz
mmenu_loc;EN;РУС
mmenu_killgame;kill game;Выход из игры
mmenu_startgame;Start new game;Начать новую игру
mmenu_saveloadgame;Open save menu (load game);Открыть меню загрузки сохранений
mmenu_resumegame;Resume last game;Продолжить последнюю игру
mmenu_roflo;Show a cute boykisser doomer UwU;Продемонстрировать всю увушность разработчиков данного проекта
mmenu_sgame_s;Start game;Начать игру
mmenu_sgame_n;New game name:;Название игры:
mmenu_sgame_e_ae;Name already exist;Имя уже занято
mmenu_sgame_e_ws;Wrong syntax;Некорректный ввод
mmenu_sgame_e_e;Imput is empty;Ввод пуст
mmenu_slmenu_label;Load game;Загрузить сохранение
mmenu_slmenu_p;Play;Играть
mmenu_slmenu_d;Delete;Удалить
pmenu_txt;Pause;Пауза
pmenu_resume;Resume game;Продолжить игру
pmenu_exit;Exit to main menu;Выйти в главное меню
dmenu_txt;Killed in action;Убит при попытке самотоятельной эвакуации
dmenu_restart;Load last save;Загрузить последнее сохранение
item_pckp;Pickup ;Подобрать 
item_drop; will be dropped); будет выброшен)
